,MOF,Solv_remove,Formula,Type,Node-file
8035,10876_2018_1483_MOESM2_ESM,ASR,C6Cu3O12,Type-1,10876_2018_1483_MOESM2_ESM_ASR_pacman_node0
8034,10876_2018_1483_MOESM2_ESM,FSR,C6Cu3H8O16,Type-1,10876_2018_1483_MOESM2_ESM_FSR_pacman_node0
12171,10876_2020_1817_MOESM2_ESM,ASR,Cu1,Type-1,10876_2020_1817_MOESM2_ESM_ASR_pacman_node0
12172,41467_2015_BFncomms7350_MOESM943_ESM_1,ASR,Cu1,Type-1,41467_2015_BFncomms7350_MOESM943_ESM_1_ASR_pacman_node0
12173,41467_2015_BFncomms7350_MOESM943_ESM_1,FSR,Cu1,Type-1,41467_2015_BFncomms7350_MOESM943_ESM_1_FSR_pacman_node0
12174,41467_2015_BFncomms7350_MOESM943_ESM_3,FSR,Cu1,Type-1,41467_2015_BFncomms7350_MOESM943_ESM_3_FSR_pacman_node0
13781,41467_2017_BFncomms15369_MOESM422_ESM_2,ASR,F2Zr1,Type-1,41467_2017_BFncomms15369_MOESM422_ESM_2_ASR_pacman_node1
13783,41467_2017_BFncomms15369_MOESM422_ESM_2,ASR,F3Zr1,Type-1,41467_2017_BFncomms15369_MOESM422_ESM_2_ASR_pacman_node0
13782,41467_2017_BFncomms15369_MOESM422_ESM_2,FSR,F2Zr1,Type-1,41467_2017_BFncomms15369_MOESM422_ESM_2_FSR_pacman_node1
13784,41467_2017_BFncomms15369_MOESM422_ESM_2,FSR,F3Zr1,Type-1,41467_2017_BFncomms15369_MOESM422_ESM_2_FSR_pacman_node0
9224,41557_2015_BFnchem2258_MOESM175_ESM,ASR,C6O13Zn4,Type-1,41557_2015_BFnchem2258_MOESM175_ESM_ASR_pacman_node0
9225,41557_2015_BFnchem2258_MOESM175_ESM,FSR,C6O13Zn4,Type-1,41557_2015_BFnchem2258_MOESM175_ESM_FSR_pacman_node0
406,42004_2023_850_MOESM4_ESM,ASR,Al1,Type-1,42004_2023_850_MOESM4_ESM_ASR_pacman_node0
407,42004_2023_850_MOESM4_ESM,FSR,Al1,Type-1,42004_2023_850_MOESM4_ESM_FSR_pacman_node0
7793,706_2019_2519_MOESM1_ESM,ASR,C6Cl2O13Zn4,Type-1,706_2019_2519_MOESM1_ESM_ASR_pacman_node0
7794,706_2019_2519_MOESM1_ESM,FSR,C6Cl2O13Zn4,Type-1,706_2019_2519_MOESM1_ESM_FSR_pacman_node0
11187,ABAVIJ,ASR,Co1,Type-1,ABAVIJ_ASR_pacman_node0
11188,ABAVIJ,FSR,Co1,Type-1,ABAVIJ_FSR_pacman_node0
11189,ABAVOP,ASR,Co1,Type-1,ABAVOP_ASR_pacman_node0
11190,ABAVOP,FSR,Co1,Type-1,ABAVOP_FSR_pacman_node0
