mof_name,bound_solvent_xyz,free_solvent_xyz,mofid,type
QOMSAO_ASR_pacman,['QOMSAO_ASR_pacman_AllNode_bound_solvent0.xyz'],[],[Cu].[N][N][N].n1ccc(cc1)C1=NN=N[N]1.n1ccc(cc1)C1=N[N]N=N1 MOFid-v1.sql.cat0;QOMSAO_ASR_pacman,ASR
PEQRAH06_ASR_pacman,['PEQRAH06_ASR_pacman_AllNode_bound_solvent0.xyz'],[],COc1cc(c(cc1c1ccncc1)OC)c1ccncc1.[Co].[O-]C(=O)c1cc(cc(c1)C(=O)O)C(=O)[O-] MOFid-v1.UNKNOWN.cat0;PEQRAH06_ASR_pacman,ASR
PIRYOF_ASR_pacman,"['PIRYOF_ASR_pacman_AllNode_bound_solvent1.xyz', 'PIRYOF_ASR_pacman_AllNode_bound_solvent2.xyz', 'PIRYOF_ASR_pacman_AllNode_bound_solvent0.xyz']",[],[Cd].[Fe].[O]S(C1=CC=C[CH]1)([O])[O].n1ccc(cc1)c1ccncc1 MOFid-v1.ERROR.cat1;PIRYOF_ASR_pacman,ASR
PEQRAH05_ASR_pacman,['PEQRAH05_ASR_pacman_AllNode_bound_solvent0.xyz'],[],COc1cc(c(cc1c1ccncc1)OC)c1ccncc1.[Co].[O-]C(=O)c1cc(cc(c1)C(=O)O)C(=O)[O-] MOFid-v1.UNKNOWN.cat0;PEQRAH05_ASR_pacman,ASR
PIWSEV_ASR_pacman,['PIWSEV_ASR_pacman_AllNode_bound_solvent0.xyz'],[],Cc1c(c2ccc(cc2)C(=O)[O-])c(C)c(c(c1c1ccc(cc1)C(=O)[O-])C)c1ccc(cc1)C(=O)[O-].O1O[Zn]2(OO[Zn]31[Zn]O3)[Zn]O2.[Zn].n1ccc(cc1)c1ccc(cc1)c1ccncc1 MOFid-v1.ERROR.cat1;PIWSEV_ASR_pacman,ASR
EPAXAW_ASR_pacman,['EPAXAW_ASR_pacman_AllNode_bound_solvent0.xyz'],[],[Co].[O-]C(=O)C1=CC=C[CH]1.[Zn].n1ccc(cc1)c1ccncc1 MOFid-v1.ERROR.cat0;EPAXAW_ASR_pacman,ASR
EDABOC_ASR_pacman,['EDABOC_ASR_pacman_AllNode_bound_solvent0.xyz'],[],[O-]C(=O)CCCCC(=O)[O-].[O-]C(=O)c1cccnc1.[Pr] MOFid-v1.UNKNOWN.cat0;EDABOC_ASR_pacman,ASR
EJOZOU_ASR_pacman,['EJOZOU_ASR_pacman_AllNode_bound_solvent0.xyz'],[],O=C(c1ccncc1)Nc1cccnc1.[Cu].[O-]C(=O)C(C(=O)[O-])(C)C MOFid-v1.sql.cat0;EJOZOU_ASR_pacman,ASR
ETESIG_ASR_pacman,['ETESIG_ASR_pacman_AllNode_bound_solvent0.xyz'],[],C(Cc1ccncc1)Cc1ccncc1.[Cd].[O-]C(=O)c1c2ccccc2c(c2c1cccc2)C(=O)[O-].[O]S(=O)(=O)[O] MOFid-v1.bcu.cat0;ETESIG_ASR_pacman,ASR
PEQRAH_ASR_pacman,['PEQRAH_ASR_pacman_AllNode_bound_solvent0.xyz'],[],COc1cc(c(cc1c1ccncc1)OC)c1ccncc1.[Co].[O-]C(=O)c1cc(cc(c1)C(=O)O)C(=O)[O-] MOFid-v1.UNKNOWN.cat0;PEQRAH_ASR_pacman,ASR
ETIKOK_ASR_pacman,['ETIKOK_ASR_pacman_AllNode_bound_solvent0.xyz'],[],[O-]C(=O)C1CCN(CC1)C1=NC(=[N]=C([N]1)N1CCC(CC1)C(=O)[O-])N1CCC(CC1)C(=O)[O-].[Pb] MOFid-v1.UNKNOWN.cat0;ETIKOK_ASR_pacman,ASR
ECIRER_ASR_pacman,['ECIRER_ASR_pacman_AllNode_bound_solvent0.xyz'],[],[Cd].[O-]C(=O)c1ccc(cc1)N(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].n1ccc(cc1)CCc1ccncc1 MOFid-v1.ERROR.cat0;ECIRER_ASR_pacman,ASR
WEMNAF_ASR_pacman,['WEMNAF_ASR_pacman_AllNode_bound_solvent0.xyz'],[],N1=C[N]N([CH]1)Cc1c(CN2[N]C=N[CH]2)c(CN2[N]C=N[CH]2)c(c(c1CN1[N]C=N[CH]1)Cn1ncnc1)CN1[N]C=N[CH]1.[O-]C(=O)C=CC(=O)[O-].[O]S(=O)(=O)[O].[Zn] MOFid-v1.fsc.cat0;WEMNAF_ASR_pacman,ASR
WEJSAH_ASR_pacman,['WEJSAH_ASR_pacman_AllNode_bound_solvent0.xyz'],[],C1N2CN3CN1CN(C2)C3.[Cu].[O]C(c1ccccc1)C(=O)[O-] MOFid-v1.ERROR.cat0;WEJSAH_ASR_pacman,ASR
WIWHUG_ASR_pacman,['WIWHUG_ASR_pacman_AllNode_bound_solvent0.xyz'],[],[Cu].[O-]C(=O)CC(C(=O)[O-])N.n1ccc(cc1)C=Cc1ccncc1 MOFid-v1.ERROR.cat0;WIWHUG_ASR_pacman,ASR
