mof_name,bound_solvent_MetalOxo,free_solvent_MetalOxo,mofid,type
FISPIH_ASR_pacman,Yes,No,[Ni].[O-]C(=O)c1ccc(cc1)OCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COc1ccc(cc1)C(=O)[O-] MOFid-v1.dia.cat3;FISPIH_ASR_pacman,ASR
d0ta09624e2_ASR_pacman,Yes,Yes,* MOFid-v1.NA.NAno_mof;d0ta09624e2_ASR_pacman,ASR
d0ta04898d2_ASR_pacman,Yes,Yes,* MOFid-v1.NA.NAno_mof;d0ta04898d2_ASR_pacman,ASR
d1py01492g2_3_ASR_pacman,Yes,No,O=C(c1ccccc1OCC(c1ccncc1)(COc1ccccc1C(=O)NCc1ccccc1)COc1ccccc1C(=O)NCc1ccccc1)NCc1ccccc1.[Tb] MOFid-v1.ERROR.cat1;d1py01492g2_3_ASR_pacman,ASR
d3ce00358b2_2_ASR_pacman,No,Yes,[Eu].[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-] MOFid-v1.pcu.cat0;d3ce00358b2_2_ASR_pacman,ASR
d0tc04781c2_1_ASR_pacman,Yes,No,[Eu][Eu].[O-]C(=O)c1c(F)c(F)c(c(c1F)F)C(=O)[O-] MOFid-v1.pcu.cat0;d0tc04781c2_1_ASR_pacman,ASR
d0ce00985g2_1_ASR_pacman,Yes,No,[Cu][OH]1[Cu][OH]([Cu]1)[Cu].[O-]C(=O)c1ccccc1C(=O)[O-] MOFid-v1.sql.cat0;d0ce00985g2_1_ASR_pacman,ASR
d2dt04162f2_ASR_pacman,Yes,No,[Cu].[O-]C(=O)c1cccc(c1)C(=O)[O-] MOFid-v1.sql.cat0;d2dt04162f2_ASR_pacman,ASR
d1dt01097b2_ASR_pacman,Yes,Yes,* MOFid-v1.NA.NAno_mof;d1dt01097b2_ASR_pacman,ASR
LABRUE_ASR_pacman,Yes,No,[Co][O]([Co])[Co].[O-]C(=O)c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].n1ccc(cc1)C=Cc1ccncc1 MOFid-v1.UNKNOWN.cat1;LABRUE_ASR_pacman,ASR
LIFWII_ASR_pacman,No,Yes,[Zn].n1ccc(cc1)c1ccc(cc1)c1ccc(cc1)c1ccncc1 MOFid-v1.sql.cat3;LIFWII_ASR_pacman,ASR
LECFAC_ASR_pacman,Yes,No,[Cu][Cu].[Cu][OH]([Cu])[Cu].[O-]C(=O)c1cc(cc(c1)n1cnnc1)C(=O)[O-] MOFid-v1.twf-d.cat0;LECFAC_ASR_pacman,ASR
LUFSEN_ASR_pacman,Yes,No,[O-]C(=O)c1ccc(cc1)[Si](c1ccc(cc1)C(=O)[O-])(C)C.[Zn].c1ccc(cn1)OCC(COc1cccnc1)(COc1cccnc1)COc1cccnc1 MOFid-v1.lvt.cat0;LUFSEN_ASR_pacman,ASR
LEQJID_ASR_pacman,Yes,No,[Fe][O]([Ni])[Fe].n1ccc(cc1)CCc1ccncc1 MOFid-v1.hcb.cat1;LEQJID_ASR_pacman,ASR
LOMMEH_ASR_pacman,No,Yes,[Eu][Eu].[O-]C(=O)c1ccc(o1)C(=O)[O-] MOFid-v1.sne.cat0;LOMMEH_ASR_pacman,ASR
LULVOF_ASR_pacman,Yes,No,[Co].[O-]C(=O)c1ccc(cc1)C#Cc1ccc(cc1)C(=O)[O-] MOFid-v1.sxb.cat0;LULVOF_ASR_pacman,ASR
LASPOM_ASR_pacman,Yes,No,"[Cu].[O-]C(=O)c1ccc(cc1c1ccc(cc1)c1cc(ccc1C(=O)[O-])C(=O)[O-])C(=O)[O-] MOFid-v1.pts,sur.cat0;LASPOM_ASR_pacman",ASR
LAFJUB_ASR_pacman,Yes,No,"[O-]C(=O)c1ccc(cc1)C(c1ccc(cc1)C(=O)[O-])N1[N]C=N[CH]1.[Zn] MOFid-v1.hcb,ERROR.cat1;LAFJUB_ASR_pacman",ASR
LAFROB_ASR_pacman,Yes,No,[Co].c1ccc(cn1)C1=NC(=[N]=C([N]1)c1cccnc1)c1cccnc1 MOFid-v1.UNKNOWN.cat0;LAFROB_ASR_pacman,ASR
LENKUO_ASR_pacman,Yes,No,"N1=NC2=C[C]3C(=CC2=N1)NC(=C1Nc2c(N1)cc1c(c2)N=N[N]1)N3.N1=N[C]2C(=N1)C=C1C(=C2)NC(=C2NC3=C(N2)C=C2C(=NN=N2)[CH]3)N1.N1=N[C]2C(=N1)C=C1C(=C2)NC(=C2NC3=CC4=NN=NC4=C[C]3N2)N1.N1=N[C]2C(=N1)C=C1C(=C2)NC(=C2Nc3c(N2)cc2c(c3)N=N[N]2)N1.[Co] MOFid-v1.pcu,ERROR.cat0;LENKUO_ASR_pacman",ASR
LODBIR_ASR_pacman,Yes,No,[Ni][OH]1[Ni][OH]([Ni]1)[Ni].[O-]C(=O)C1=C[CH][N][CH][CH]1.[O-]C(=O)c1ccncc1 MOFid-v1.ERROR.cat0;LODBIR_ASR_pacman,ASR
LOGZIT_ASR_pacman,Yes,No,* MOFid-v1.NA.NA;LOGZIT_ASR_pacman,ASR
d0ce00513d2_3_ASR_pacman,Yes,No,[Cd].[O-]C(=O)c1ccc(cc1)C(=O)[O-] MOFid-v1.sql.cat1;d0ce00513d2_3_ASR_pacman,ASR
LAQZOV_ASR_pacman,Yes,No,"[Ce].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1ccc(cc1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-] MOFid-v1.pts,sur.cat0;LAQZOV_ASR_pacman",ASR
d0cc03196h2_2_ASR_pacman,No,Yes,[Ni].n1ccncc1 MOFid-v1.sql.cat0;d0cc03196h2_2_ASR_pacman,ASR
d0ra05131d2_1_ASR_pacman,Yes,No,* MOFid-v1.NA.NA;d0ra05131d2_1_ASR_pacman,ASR
d1py01492g2_2_ASR_pacman,Yes,No,O=C(c1ccccc1OCC(c1ccncc1)(COc1ccccc1C(=O)NCc1ccccc1)COc1ccccc1C(=O)NCc1ccccc1)NCc1ccccc1.[Gd] MOFid-v1.ERROR.cat1;d1py01492g2_2_ASR_pacman,ASR
d0dt02411b2_2_ASR_pacman,Yes,No,[Cu][Cu].[O-]C(=O)c1ccc(cc1)SSc1ccc(cc1)C(=O)[O-] MOFid-v1.bex.cat0;d0dt02411b2_2_ASR_pacman,ASR
d2ce00499b2_4_ASR_pacman,Yes,No,C=CCOc1cc(C(=O)[O-])c(cc1C(=O)[O-])OCC=C.[Ce] MOFid-v1.sql.cat0;d2ce00499b2_4_ASR_pacman,ASR
d1ce01210j2_ASR_pacman,Yes,Yes,* MOFid-v1.NA.NAno_mof;d1ce01210j2_ASR_pacman,ASR
d1nj04628d2_ASR_pacman,Yes,No,[O-]C(=O)c1ccc(cc1)Oc1ccc(cc1)C(=O)[O-].[Zn] MOFid-v1.ERROR.cat1;d1nj04628d2_ASR_pacman,ASR
d0dt03264f2_1_ASR_pacman,Yes,No,"[Eu].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])N1C(=O)c2ccc3c4c2c(C1=O)ccc4C(=O)N(C3=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-] MOFid-v1.lvt,UNKNOWN.cat0;d0dt03264f2_1_ASR_pacman",ASR
d1tc04239d2_ASR_pacman,Yes,No,[O-]C(=O)c1ccc(cc1)C(=O)[O-].[Zn] MOFid-v1.ERROR.cat0;d1tc04239d2_ASR_pacman,ASR
d3ce00001j2_ASR_pacman,Yes,No,[Cd].[O-]C(=O)c1ccc(cc1)C(=O)[O-] MOFid-v1.ERROR.cat0;d3ce00001j2_ASR_pacman,ASR
d3ce00541k2_5_ASR_pacman,Yes,No,[O-]C(=O)c1ccc(cc1)Oc1ccc(cc1)C(=O)[O-].[Zn][Zn] MOFid-v1.sql.cat0;d3ce00541k2_5_ASR_pacman,ASR
d2ce00499b2_3_ASR_pacman,Yes,No,C=CCOc1cc(C(=O)[O-])c(cc1C(=O)[O-])OCC=C.[Nd] MOFid-v1.sql.cat0;d2ce00499b2_3_ASR_pacman,ASR
d2dt02049a2_ASR_pacman,Yes,No,[Co][OH2][Co].[O-]C(=O)c1ccc(s1)C(=O)[O-] MOFid-v1.sql.cat1;d2dt02049a2_ASR_pacman,ASR
d1py01492g2_1_ASR_pacman,Yes,No,O=C(c1ccccc1OCC(c1ccncc1)(COc1ccccc1C(=O)NCc1ccccc1)COc1ccccc1C(=O)NCc1ccccc1)NCc1ccccc1.[Eu] MOFid-v1.ERROR.cat1;d1py01492g2_1_ASR_pacman,ASR
d0ce00430h2_ASR_pacman,Yes,No,[O-]C(=O)c1c(F)c(F)c(c(c1F)F)C(=O)[O-].[Tb][Tb] MOFid-v1.pcu.cat0;d0ce00430h2_ASR_pacman,ASR
d1ce01411k2_ASR_pacman,Yes,No,"[Eu].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1ccc(cc1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-] MOFid-v1.pts,sur.cat0;d1ce01411k2_ASR_pacman",ASR
d0dt03264f2_3_ASR_pacman,Yes,No,"[Nd].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])N1C(=O)c2ccc3c4c2c(C1=O)ccc4C(=O)N(C3=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-] MOFid-v1.lvt,lil.cat0;d0dt03264f2_3_ASR_pacman",ASR
d1nj02343h2_ASR_pacman,Yes,No,"[O-]C(=O)c1cc(cc(c1)C(=O)[O-])N1C(=O)c2ccc3c4c2c(C1=O)ccc4C(=O)N(C3=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.lvt,lim.cat1;d1nj02343h2_ASR_pacman",ASR
d3ce00541k2_3_ASR_pacman,Yes,No,[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-].[Zn][Zn] MOFid-v1.sql.cat1;d3ce00541k2_3_ASR_pacman,ASR
d1dt00894c2_3_ASR_pacman,Yes,Yes,[Cd].[O-]C(=O)C1CCC(CC1)C(=O)[O-] MOFid-v1.ERROR.cat0;d1dt00894c2_3_ASR_pacman,ASR
d0dt03648j2_1_ASR_pacman,Yes,Yes,* MOFid-v1.NA.NAno_mof;d0dt03648j2_1_ASR_pacman,ASR
d3ta01930f2_2_ASR_pacman,Yes,No,[Ni].[O-]C(=O)c1ccc(cc1)n1ccnc1c1nccn1c1ccc(cc1)C(=O)[O-] MOFid-v1.fes.cat0;d3ta01930f2_2_ASR_pacman,ASR
d3sc00877k2_2_ASR_pacman,No,Yes,OC(=O)c1cc(cc(c1)n1cncc1)n1cncc1.[Cu] MOFid-v1.dia.cat1;d3sc00877k2_2_ASR_pacman,ASR
d0ce00475h2_1_ASR_pacman,Yes,No,Nc1cnccc1c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Co][OH]([Co])[Co] MOFid-v1.ant.cat0;d0ce00475h2_1_ASR_pacman,ASR
d3sc00877k2_3_ASR_pacman,No,Yes,OC(=O)c1cc(cc(c1)n1cncc1)n1cncc1.[Cu] MOFid-v1.dia.cat1;d3sc00877k2_3_ASR_pacman,ASR
LIFSEA_ASR_pacman,Yes,No,F[Cd].[Cd].[O-]C(=O)c1ccncc1.n1ccc(cc1)c1ccncc1 MOFid-v1.ERROR.cat0;LIFSEA_ASR_pacman,ASR
LOMMIL_ASR_pacman,No,Yes,[O-]C(=O)c1ccc(o1)C(=O)[O-].[Y][Y] MOFid-v1.sne.cat0;LOMMIL_ASR_pacman,ASR
OGIYUZ_ASR_pacman,Yes,Yes,[Eu].[O]c1c2Cc3cc(cc(c3[O])Cc3cc(cc(Cc4c(c(Cc1cc(c2)S([O])([O])[O])cc(c4)S([O])([O])[O])[O])c3[O])S([O])([O])[O])S([O])([O])[O] MOFid-v1.pts.cat0;OGIYUZ_ASR_pacman,ASR
OZAYIZ_ASR_pacman,Yes,Yes,* MOFid-v1.NA.NAno_mof;OZAYIZ_ASR_pacman,ASR
OYAXEU_ASR_pacman,No,Yes,[Cu].[O-]C(=O)c1ccncc1.[O]12[Y]34[O]5[Y]62[O]2[Y]71[O]4[Y]14[O]3[Y]35[O]6[Y]2([O]71)[O]43 MOFid-v1.ERROR.cat0;OYAXEU_ASR_pacman,ASR
OCEGOV_ASR_pacman,No,Yes,[Ni].n1ccncc1 MOFid-v1.sql.cat0;OCEGOV_ASR_pacman,ASR
OHEGAJ_ASR_pacman,No,Yes,[O-]C(=O)C(=O)[O-].[O][As]([O])[O].[O][As]([O])[O].[O].[Zn] MOFid-v1.ERROR.cat0;OHEGAJ_ASR_pacman,ASR
OKUJUC_ASR_pacman,Yes,No,[Fe].[Fe][O]([Fe])[Fe].[O-]C(=O)c1cc(n2ncnc2)c(cc1N1[N]C=N[CH]1)C(=O)[O-].[O-]C(=O)c1cc(n2ncnc2)c(cc1n1ncnc1)C(=O)[O-].[O-]C=O MOFid-v1.UNKNOWN.cat0;OKUJUC_ASR_pacman,ASR
OSOMUH_ASR_pacman,Yes,Yes,* MOFid-v1.NA.NAno_mof;OSOMUH_ASR_pacman,ASR
OKANOF_ASR_pacman,Yes,No,[Co].[O-]C(=O)c1ccc(cc1)n1cnc2c1cccc2 MOFid-v1.qtz.cat0;OKANOF_ASR_pacman,ASR
OQOFUY_ASR_pacman,No,Yes,[Cu].n1ccc(cc1)C#Cc1ccncc1 MOFid-v1.sql.cat0;OQOFUY_ASR_pacman,ASR
