cifname,mofid
RUWRIN_FSR_pacman,O[Zn][OH2].[O-]C(=O)C1=NN=C([CH]1)C(=O)[O-].[O-]C(=O)C1=N[N]C(=C1)C(=O)[O-].[OH2][Zn][OH2] MOFid-v1.ERROR.cat0;RUWRIN_FSR_pacman
RIDHOF_FSR_pacman,[Fe][O]([Fe])[Fe].[O-]C(=O)c1ccc(cc1)c1cncc(c1)c1ccc(cc1)C(=O)[O-] MOFid-v1.xmz.cat0;RIDHOF_FSR_pacman
RUTVUA_FSR_pacman,[Mg].[O-]C(=O)c1cc(O)c(c(c1)O)[O] MOFid-v1.UNKNOWN.cat0;RUTVUA_FSR_pacman
RATCEY_FSR_pacman,[Cd].[O-]C(=O)c1ccc(cc1)N(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].n1ccc(cc1)c1ccncc1 MOFid-v1.UNKNOWN.cat0;RATCEY_FSR_pacman
RIRDED_FSR_pacman,Clc1cc2N=C[N]c2cc1Cl.O=N(=O)C1=NC=C[N]1.[Co] MOFid-v1.gme.cat0;RIRDED_FSR_pacman
REHJIZ_FSR_pacman,[Ag].c1ccc(cn1)OCC(COc1cccnc1)(COc1cccnc1)COc1cccnc1 MOFid-v1.dia.cat0;REHJIZ_FSR_pacman
ROQVIE_FSR_pacman,[Zn].n1ccc(cc1)C1=NN=C([N]1)C1=CN=N[CH]1.n1ccc(cc1)C1=NN=C([N]1)[C]1C=NN=C1 MOFid-v1.sql.cat0;ROQVIE_FSR_pacman
RIPNUB_FSR_pacman,[Zn].c1ccc2c(c1)N=C[N]2 MOFid-v1.sod.cat0;RIPNUB_FSR_pacman
RUMWUS_FSR_pacman,[O-]C(=O)c1ccc(cc1)OCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COc1ccc(cc1)C(=O)[O-].[Zn] MOFid-v1.UNKNOWN.cat0;RUMWUS_FSR_pacman
ROYJIA_FSR_pacman,"[Ni][O]([Ni])[Ni].[O-]C(=O)c1ccc(cc1)C(=O)[O-].n1ccc(cc1)C1=NC(=[N]=C([N]1)c1ccncc1)c1ccncc1 MOFid-v1.nia-d,acs.cat0;ROYJIA_FSR_pacman"
